panel,study,strand_number,strand,strand_key,sequencing_pattern,metric,method,method_raw,mean_score,sd_score,win_mean,win_sd,mean_r2,sd_r2
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspell(expcost=0.00),OMspell_expcost_0.00,0.44374857366462184,0.003828527262477468,0.9991833333333333,0.0007249653182350713,0.44374857366462184,0.003828527262477468
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=0.00),OMspellRS_expcost_0.00,0.44374857366462184,0.003828527262477468,0.9991833333333333,0.0007249653182350713,0.44374857366462184,0.003828527262477468
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspell(expcost=0.10),OMspell_expcost_0.10,0.44714294319198067,0.00365597085816911,0.9998166666666667,0.0003824452481284867,0.44714294319198067,0.00365597085816911
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=0.10),OMspellRS_expcost_0.10,0.4439247009539628,0.0038192662004727694,0.9998166666666667,0.0003824452481284867,0.4439247009539628,0.0038192662004727694
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspell(expcost=0.25),OMspell_expcost_0.25,0.4517165339235769,0.0034453977729220174,0.9999166666666668,0.000265334315252587,0.4517165339235769,0.0034453977729220174
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=0.25),OMspellRS_expcost_0.25,0.4441841790848075,0.0038056813236074915,0.9998166666666667,0.0003824452481284867,0.4441841790848075,0.0038056813236074915
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspell(expcost=0.50),OMspell_expcost_0.50,0.458192895852283,0.0031979920492665698,0.9999833333333333,9.128709291751764e-05,0.458192895852283,0.0031979920492665698
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=0.50),OMspellRS_expcost_0.50,0.4446045156796719,0.0037838254079310013,0.9998166666666667,0.0003824452481284867,0.4446045156796719,0.0037838254079310013
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspell(expcost=0.75),OMspell_expcost_0.75,0.4633025976276789,0.003056024271022821,0.9999833333333333,9.128709291751764e-05,0.4633025976276789,0.003056024271022821
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=0.75),OMspellRS_expcost_0.75,0.44501037243163755,0.003762901745011744,0.9998166666666667,0.0003824452481284867,0.44501037243163755,0.003762901745011744
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspell(expcost=1.00),OMspell_expcost_1.00,0.467608519492483,0.0029820402641480563,0.9999833333333333,9.128709291751764e-05,0.467608519492483,0.0029820402641480563
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=1.00),OMspellRS_expcost_1.00,0.4454024848845934,0.003742856760666689,0.9998166666666667,0.0003824452481284867,0.4454024848845934,0.003742856760666689
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspell(expcost=1.50),OMspell_expcost_1.50,0.4719510552412893,0.002945771803824173,0.9999666666666668,0.00012685406585121722,0.4719510552412893,0.002945771803824173
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=1.50),OMspellRS_expcost_1.50,0.44614817813318275,0.0037052073692915425,0.9998166666666667,0.0003824452481284867,0.44614817813318275,0.0037052073692915425
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspell(expcost=2.00),OMspell_expcost_2.00,0.47514481450099605,0.0030218144631454415,0.9999166666666668,0.0002305665186886816,0.47514481450099605,0.0030218144631454415
G,study2,4,Calendar-Time Divergence (Early vs Late),sensitivity_divergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=2.00),OMspellRS_expcost_2.00,0.44684656952623886,0.003670519640850651,0.9998166666666667,0.0003824452481284867,0.44684656952623886,0.003670519640850651
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,Hamming,HAM,0.5997446416681615,0.0018240710477945281,1.0,0.0,0.5997446416681615,0.0018240710477945281
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OM,OM,0.5080520151401918,0.0028973022200175728,1.0,0.0,0.5080520151401918,0.0028973022200175728
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,LCP,LCP,0.0,0.0,0.0,0.0,0.0,0.0
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,RLCP,RLCP,0.5997446416681615,0.0018240710477945281,1.0,0.0,0.5997446416681615,0.0018240710477945281
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,LCPmst,LCPmst,0.0,0.0,0.0,0.0,0.0,0.0
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,RLCPmst,RLCPmst,0.6071968271490189,0.001873171177753011,1.0,0.0,0.6071968271490189,0.001873171177753011
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,LCPspell(expcost=0.00),LCPspell_expcost_0.00,0.00013227278249223814,0.0012038208789810093,-0.014399999999999998,0.02105591898108302,0.00013227278249223814,0.0012038208789810093
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,RLCPspell(expcost=0.00),RLCPspell_expcost_0.00,0.6094608152361602,0.0024033566933441856,1.0,0.0,0.6094608152361602,0.0024033566933441856
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,LCPspell(expcost=0.10),LCPspell_expcost_0.10,0.00013227278249223814,0.0012038208789810093,-0.014399999999999998,0.02105591898108302,0.00013227278249223814,0.0012038208789810093
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,RLCPspell(expcost=0.10),RLCPspell_expcost_0.10,0.6093585482402304,0.002401628159749284,1.0,0.0,0.6093585482402304,0.002401628159749284
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,LCPspell(expcost=0.25),LCPspell_expcost_0.25,0.00013227278249223814,0.0012038208789810093,-0.014399999999999998,0.02105591898108302,0.00013227278249223814,0.0012038208789810093
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,RLCPspell(expcost=0.25),RLCPspell_expcost_0.25,0.6092052129105479,0.002399050656156003,1.0,0.0,0.6092052129105479,0.002399050656156003
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,LCPspell(expcost=0.50),LCPspell_expcost_0.50,0.00013227278249223814,0.0012038208789810093,-0.014399999999999998,0.02105591898108302,0.00013227278249223814,0.0012038208789810093
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,RLCPspell(expcost=0.50),RLCPspell_expcost_0.50,0.6089498276513504,0.0023947956580746546,1.0,0.0,0.6089498276513504,0.0023947956580746546
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,LCPspell(expcost=0.75),LCPspell_expcost_0.75,0.00013227278249223814,0.0012038208789810093,-0.014399999999999998,0.02105591898108302,0.00013227278249223814,0.0012038208789810093
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,RLCPspell(expcost=0.75),RLCPspell_expcost_0.75,0.6086946591820745,0.002390591791108177,1.0,0.0,0.6086946591820745,0.002390591791108177
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,LCPspell(expcost=1.00),LCPspell_expcost_1.00,0.00013227278249223814,0.0012038208789810093,-0.014399999999999998,0.02105591898108302,0.00013227278249223814,0.0012038208789810093
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,RLCPspell(expcost=1.00),RLCPspell_expcost_1.00,0.6084397072266969,0.002386439145200244,1.0,0.0,0.6084397072266969,0.002386439145200244
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,LCPspell(expcost=1.50),LCPspell_expcost_1.50,0.00013227278249223814,0.0012038208789810093,-0.014399999999999998,0.02105591898108302,0.00013227278249223814,0.0012038208789810093
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,RLCPspell(expcost=1.50),RLCPspell_expcost_1.50,0.6079304517558841,0.0023782878657763996,1.0,0.0,0.6079304517558841,0.0023782878657763996
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,LCPspell(expcost=2.00),LCPspell_expcost_2.00,0.00013227278249223814,0.0012038208789810093,-0.014399999999999998,0.02105591898108302,0.00013227278249223814,0.0012038208789810093
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,RLCPspell(expcost=2.00),RLCPspell_expcost_2.00,0.607422059040078,0.0023703424965714733,1.0,0.0,0.607422059040078,0.0023703424965714733
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspell(expcost=0.00),OMspell_expcost_0.00,0.486633358361984,0.0034426831531773894,0.9997833333333335,0.0004291799183312999,0.486633358361984,0.0034426831531773894
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=0.00),OMspellRS_expcost_0.00,0.486633358361984,0.0034426831531773894,0.9997833333333335,0.0004291799183312999,0.486633358361984,0.0034426831531773894
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspell(expcost=0.10),OMspell_expcost_0.10,0.4902699506649357,0.0032856856471401106,0.9999333333333333,0.0002537081317024345,0.4902699506649357,0.0032856856471401106
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=0.10),OMspellRS_expcost_0.10,0.48682206264237493,0.0034340720982840678,0.9999333333333333,0.0002537081317024345,0.48682206264237493,0.0034340720982840678
